mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_size,param_lr,param_num_epochs,param_scaler,param_sub_sequence_length,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.966177320480346,0.5148336259892163,0.28243389129638674,0.02890779547441817,50,0.001,5,RobustScaler(),3,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 5, 'scaler': RobustScaler(), 'sub_sequence_length': 3}",0.4217687074829932,0.5050555611172289,0.44181775091835523,0.4967102716928555,0.5567701863354038,0.48442449550936734,0.04806571044620639,176
6.899214839935302,0.34292809878077163,0.3432631969451904,0.07202396544780464,50,0.001,5,RobustScaler(),5,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 5, 'scaler': RobustScaler(), 'sub_sequence_length': 5}",0.2589450697127499,0.4631403791851553,0.4914586070959264,0.5086510608314413,0.5317788642346747,0.4507947962119895,0.0985068963287382,185
8.34885482788086,0.42561891626933046,0.34253315925598143,0.035703868538209727,50,0.001,5,RobustScaler(),7,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 5, 'scaler': RobustScaler(), 'sub_sequence_length': 7}",0.39556046946759654,0.40434826780453115,0.35053595086113454,0.4827750059396531,0.37664473684210525,0.4019728861830041,0.04441400127772512,189
11.276039981842041,1.0778861174346064,0.41410322189331056,0.07358202648055055,50,0.001,5,RobustScaler(),10,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 5, 'scaler': RobustScaler(), 'sub_sequence_length': 10}",0.4147884882108183,0.2593106282426671,0.33991709339185566,0.2981947130883301,0.38450189235999743,0.3393425630587337,0.05626728868123571,192
4.094640636444092,0.2530616521649778,0.25974140167236326,0.03216174493117449,50,0.001,5,StandardScaler(),3,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 5, 'scaler': StandardScaler(), 'sub_sequence_length': 3}",0.4717935954869753,0.4166583241565722,0.5124422324920014,0.36202492452976237,0.42385093167701865,0.437354001668466,0.05120437844565917,188
6.885438013076782,0.9280257673833027,0.3586602210998535,0.06578868113352421,50,0.001,5,StandardScaler(),5,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 5, 'scaler': StandardScaler(), 'sub_sequence_length': 5}",0.24038300016798253,0.416246470350948,0.4144068808983395,0.4919752603147264,0.3798420458819105,0.38857073152278143,0.08265802246125226,191
7.742607498168946,0.4308693630550612,0.34633398056030273,0.058047903751291936,50,0.001,5,StandardScaler(),7,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 5, 'scaler': StandardScaler(), 'sub_sequence_length': 7}",0.4057662867834666,0.4637305699481865,0.434120197518969,0.4320107705709987,0.25594635627530365,0.3983148362193849,0.07351321827535061,190
11.938953638076782,1.4225846730858762,0.4496746063232422,0.08174390432531978,50,0.001,5,StandardScaler(),10,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 5, 'scaler': StandardScaler(), 'sub_sequence_length': 10}",0.4105409153952843,0.4988955668567319,0.5016459400146306,0.45793036750483557,0.4574379370068638,0.46529014535566926,0.03335976572690651,181
7.390751600265503,0.9555265692953995,0.27895054817199705,0.0241486012335504,50,0.001,10,RobustScaler(),3,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 10, 'scaler': RobustScaler(), 'sub_sequence_length': 3}",0.4491455118632819,0.47942737010711783,0.5260101907808982,0.5203189101323632,0.5468322981366459,0.5043468562040614,0.03520678500587249,158
11.687694787979126,0.3296909320403634,0.30804758071899413,0.022481238166953074,50,0.001,10,RobustScaler(),5,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 10, 'scaler': RobustScaler(), 'sub_sequence_length': 5}",0.4528809003863598,0.411506655909641,0.5130211444271892,0.5059109058169576,0.5601103171618403,0.4886859847403976,0.05143731336158596,172
15.514732694625854,1.3930169072839398,0.3604423046112061,0.04158285259549428,50,0.001,10,RobustScaler(),7,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 10, 'scaler': RobustScaler(), 'sub_sequence_length': 7}",0.42439190338492944,0.43492837549527585,0.4975310128869083,0.5154035004355746,0.5665485829959515,0.487760675039728,0.05267631884219771,174
21.239777517318725,1.0152085730493479,0.3957976818084717,0.032824247013484145,50,0.001,10,RobustScaler(),10,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 10, 'scaler': RobustScaler(), 'sub_sequence_length': 10}",0.4445214979195562,0.4566188935120974,0.50536454523287,0.5299000644745325,0.37853614728334084,0.46298822968447945,0.052510358219443276,182
7.196692657470703,0.3432736035648427,0.2970457077026367,0.04993216459484668,50,0.001,10,StandardScaler(),3,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 10, 'scaler': StandardScaler(), 'sub_sequence_length': 3}",0.3829434212709474,0.4515967564320753,0.48098115890508353,0.5518228965090177,0.5591304347826087,0.4852949335799465,0.06558606400191157,175
12.027716159820557,1.336772965548275,0.32479658126831057,0.047065699292174266,50,0.001,10,StandardScaler(),5,"{'hidden_size': 50, 'lr': 0.001, 'num_epochs': 10, 'scaler': StandardScaler(), 'sub_sequence_length': 5}",0.36746178397446666,0.47988100040338844,0.4698363397443555,0.3878493697643467,0.48201078099536165,0.4374078549763838,0.049383179365815245,187
