mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__hidden_layer_sizes,param_scaler__with_mean,param_scaler__with_std,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.993636751174927,0.05051542702362948,0.006998586654663086,0.0005324029493492898,"(50,)",True,True,"{'mlp__hidden_layer_sizes': (50,), 'scaler__with_mean': True, 'scaler__with_std': True}",0.6671428571428571,0.4997626957759848,0.7593301435406699,0.7516843118383061,0.6600771456123433,0.6675994307820322,0.09349946923550712,13
5.395327568054199,0.48073864667121824,0.006270360946655273,0.0004247410599149385,"(50,)",True,False,"{'mlp__hidden_layer_sizes': (50,), 'scaler__with_mean': True, 'scaler__with_std': False}",0.6857142857142857,0.5030849549121974,0.784688995215311,0.7540904716073147,0.656702025072324,0.6768561465042866,0.09825899094082688,7
6.16801609992981,1.1960681488554628,0.006083106994628907,0.00012354800159051813,"(50,)",False,True,"{'mlp__hidden_layer_sizes': (50,), 'scaler__with_mean': False, 'scaler__with_std': True}",0.7095238095238096,0.5016611295681063,0.7588516746411483,0.7603464870067372,0.6610414657666345,0.6782849133012873,0.09559735457858283,5
2.2302504539489747,0.5050365569991179,0.006034660339355469,8.699781242533302e-05,"(50,)",False,False,"{'mlp__hidden_layer_sizes': (50,), 'scaler__with_mean': False, 'scaler__with_std': False}",0.7095238095238096,0.5092548647365923,0.845933014354067,0.7579403272377286,0.7010607521697203,0.7047425536043835,0.11046863979889879,2
8.738587236404419,1.5783074073065846,0.0076350212097167965,0.0002926971824097218,"(100,)",True,True,"{'mlp__hidden_layer_sizes': (100,), 'scaler__with_mean': True, 'scaler__with_std': True}",0.6633333333333333,0.5021357380161366,0.7516746411483254,0.753609239653513,0.6441658630665381,0.6629837630435693,0.09198409817346778,15
6.788404130935669,1.4491194548903799,0.007533550262451172,7.474169582366475e-05,"(100,)",True,False,"{'mlp__hidden_layer_sizes': (100,), 'scaler__with_mean': True, 'scaler__with_std': False}",0.6823809523809524,0.502610346464167,0.7784688995215311,0.7531280076997112,0.6383799421407907,0.6709936296414305,0.09781946992285223,10
7.587050342559815,1.2140518616832072,0.007595205307006836,0.00016796906842538403,"(100,)",False,True,"{'mlp__hidden_layer_sizes': (100,), 'scaler__with_mean': False, 'scaler__with_std': True}",0.670952380952381,0.49928808732795443,0.8248803827751197,0.7420596727622714,0.6417550626808101,0.6757871172997073,0.10858574161994004,8
3.2066730499267577,1.9208676712344248,0.00765838623046875,0.00021073993938268784,"(100,)",False,False,"{'mlp__hidden_layer_sizes': (100,), 'scaler__with_mean': False, 'scaler__with_std': False}",0.7123809523809523,0.5111532985287138,0.8794258373205741,0.733878729547642,0.7049180327868853,0.7083513701129536,0.11733134635302801,1
12.631174516677856,1.2698297975803872,0.008314418792724609,0.0003507071137209422,"(50, 50)",True,True,"{'mlp__hidden_layer_sizes': (50, 50), 'scaler__with_mean': True, 'scaler__with_std': True}",0.6457142857142857,0.49881347887992405,0.7196172248803828,0.7439846005774784,0.6345226615236258,0.6485304503151393,0.08577195903792191,19
9.94801459312439,0.9463768940678267,0.008626079559326172,0.0012808118268384904,"(50, 50)",True,False,"{'mlp__hidden_layer_sizes': (50, 50), 'scaler__with_mean': True, 'scaler__with_std': False}",0.6876190476190476,0.5040341718082582,0.7650717703349282,0.7478344562078922,0.654291224686596,0.6717701341313445,0.09293334148926416,9
8.985224962234497,1.0928444650722173,0.008332395553588867,0.0006857559050812808,"(50, 50)",False,True,"{'mlp__hidden_layer_sizes': (50, 50), 'scaler__with_mean': False, 'scaler__with_std': True}",0.7023809523809523,0.5035595633602278,0.7430622009569378,0.7487969201154957,0.6494696239151398,0.6694538521457507,0.09024188585029415,11
6.934975719451904,3.3334519460522016,0.00853900909423828,0.0009674328449389109,"(50, 50)",False,False,"{'mlp__hidden_layer_sizes': (50, 50), 'scaler__with_mean': False, 'scaler__with_std': False}",0.7104761904761905,0.5173232083531086,0.8272727272727273,0.7584215591915303,0.6027000964320154,0.6832387563451143,0.11059345482364638,4
16.00177593231201,1.771866478814542,0.010374116897583007,0.0004398684486551508,"(100, 50)",True,True,"{'mlp__hidden_layer_sizes': (100, 50), 'scaler__with_mean': True, 'scaler__with_std': True}",0.6461904761904762,0.5045087802562885,0.7047846889952153,0.7425409047160731,0.6494696239151398,0.6494988948146385,0.08092763984560217,18
10.249638843536378,2.238783401903424,0.01060795783996582,0.001295699204740136,"(100, 50)",True,False,"{'mlp__hidden_layer_sizes': (100, 50), 'scaler__with_mean': True, 'scaler__with_std': False}",0.6780952380952381,0.47413383958234456,0.7411483253588517,0.7512030798845043,0.6354869816779171,0.6560134929197712,0.10029770345610661,16
9.923683166503906,2.3123167955842927,0.010321903228759765,0.0005937980090673634,"(100, 50)",False,True,"{'mlp__hidden_layer_sizes': (100, 50), 'scaler__with_mean': False, 'scaler__with_std': True}",0.689047619047619,0.5054579971523493,0.7990430622009569,0.7271414821944177,0.6658630665380907,0.6773106454266868,0.0970608365075936,6
8.164073419570922,2.8523619938264924,0.010991811752319336,0.0013819074034376168,"(100, 50)",False,False,"{'mlp__hidden_layer_sizes': (100, 50), 'scaler__with_mean': False, 'scaler__with_std': False}",0.6052380952380952,0.5158993830090176,0.7842105263157895,0.7550529355149181,0.6808100289296046,0.6682421938014851,0.09830621337303877,12
