mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
38.038410663604736,24.640994459639312,0.029844188690185548,0.007190840112735045,relu,0.0001,"(50,)",constant,0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'learning_rate_init': 0.001}",0.5801817835123626,0.6068001271051795,0.6734473332909542,0.5688493324856961,0.5980928162746345,0.6054742785337653,0.03649020967320618,128
19.526157093048095,3.4333308374422504,0.025310039520263672,0.0038536002077254115,relu,0.0001,"(50,)",constant,0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'learning_rate_init': 0.01}",0.570266319201678,0.5908484270734032,0.6402008772487445,0.5926255562619199,0.6077558804831532,0.6003394120537797,0.023228920303017767,144
6.244972085952758,3.092716259961406,0.021511936187744142,0.002625247492998885,relu,0.0001,"(50,)",constant,0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'learning_rate_init': 0.1}",0.594419373291807,0.45103272958373053,0.5578157777636514,0.5863954227590591,0.5343928798474253,0.5448112366491348,0.05150200072044933,181
17.895768308639525,18.416735820471022,0.025577020645141602,0.0071157967259257646,relu,0.0001,"(50,)",adaptive,0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001}",0.5585075954999047,0.575023832221163,0.6583815396351154,0.5706293706293706,0.598283534647171,0.5921651745265449,0.03553164907577336,156
18.443702268600465,5.062679866632881,0.023217058181762694,0.0030984312120122992,relu,0.0001,"(50,)",adaptive,0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01}",0.5986143774232505,0.5809977756593582,0.6457949272137817,0.5976478067387159,0.6179910998092816,0.6082091973688776,0.022146953364347317,120
3.845951461791992,0.10573413102995134,0.02037358283996582,0.0013762122449704627,relu,0.0001,"(50,)",adaptive,0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1}",0.4282717854191826,0.45103272958373053,0.5578157777636514,0.5863954227590591,0.4661792752701844,0.49793899815916154,0.06240539455754541,196
58.37061982154846,13.251997649347095,0.053952360153198244,0.003453784808177673,relu,0.0001,"(100,)",constant,0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.001}",0.5885082311065912,0.5802986971719097,0.6815205644904965,0.6047043865225683,0.6310235219326128,0.6172110802448356,0.036522016017626925,63
20.286685991287232,5.414129019451897,0.036679410934448244,0.006033063965593275,relu,0.0001,"(100,)",constant,0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.01}",0.5728087459480073,0.5971401334604385,0.6735109020405569,0.6033057851239669,0.6164653528289892,0.6126461838803918,0.033567252129854175,94
4.615037488937378,0.3056117479502013,0.03230881690979004,0.005014804982709462,relu,0.0001,"(100,)",constant,0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.1}",0.4282717854191826,0.45103272958373053,0.5578157777636514,0.5863954227590591,0.4661792752701844,0.49793899815916154,0.06240539455754541,196
57.230148267745975,15.076287514839244,0.054091024398803714,0.009952061052581552,relu,0.0001,"(100,)",adaptive,0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001}",0.5927032352380347,0.6034953924372418,0.6662640645858496,0.5996185632549269,0.636808645899555,0.6197779802831216,0.027768925749013126,24
20.973216485977172,4.332647988390822,0.05705094337463379,0.0293137550661939,relu,0.0001,"(100,)",adaptive,0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01}",0.5767495074048179,0.5754687003495392,0.6570465958934588,0.598283534647171,0.6193261284170375,0.6053748933424049,0.030425917478948933,130
4.5607743740081785,0.30900194842846224,0.0312901496887207,0.002584983890825635,relu,0.0001,"(100,)",adaptive,0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1}",0.4282717854191826,0.45103272958373053,0.5578157777636514,0.5863954227590591,0.4661792752701844,0.49793899815916154,0.06240539455754541,196
132.30309848785402,29.789926535357186,0.1207815170288086,0.017952894728544114,relu,0.0001,"(50, 50)",constant,0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'learning_rate_init': 0.001}",0.5932752812559589,0.6051477597712107,0.6836819019769881,0.5888747616020343,0.6153846153846154,0.6172728639981615,0.034476311165158015,61
