mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__hidden_layer_sizes,param_scaler__feature_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.792261028289795,0.06355959037062087,0.006466197967529297,0.0007603507738628116,"(50,)","(0, 1)","{'mlp__hidden_layer_sizes': (50,), 'scaler__feature_range': (0, 1)}",0.7104761904761905,0.4997626957759848,0.8133971291866029,0.7564966313763234,0.6692381870781099,0.6898741667786423,0.10647923128623452,1
7.935554170608521,0.027611155533071773,0.007640218734741211,0.0019177579352810876,"(50,)","(-1, 1)","{'mlp__hidden_layer_sizes': (50,), 'scaler__feature_range': (-1, 1)}",0.6938095238095238,0.5035595633602278,0.7717703349282297,0.7521655437921078,0.6615236258437801,0.6765657183467738,0.09511466307854068,3
9.876102638244628,0.05934971394767429,0.00785675048828125,0.00027299798093675405,"(100,)","(0, 1)","{'mlp__hidden_layer_sizes': (100,), 'scaler__feature_range': (0, 1)}",0.6985714285714286,0.5021357380161366,0.7952153110047847,0.7512030798845043,0.6562198649951784,0.6806690844944064,0.10088438588380333,2
9.882617330551147,0.09302092612902123,0.00881052017211914,0.0011149297389364426,"(100,)","(-1, 1)","{'mlp__hidden_layer_sizes': (100,), 'scaler__feature_range': (-1, 1)}",0.679047619047619,0.5035595633602278,0.7789473684210526,0.7516843118383061,0.6634522661523626,0.6753382257639137,0.0961525078119609,4
11.232252597808838,1.3664579772124137,0.00878314971923828,0.001035951518651968,"(50, 50)","(0, 1)","{'mlp__hidden_layer_sizes': (50, 50), 'scaler__feature_range': (0, 1)}",0.6828571428571428,0.5021357380161366,0.7425837320574162,0.7497593840230992,0.6523625843780135,0.6659397162663617,0.08966863775345041,7
12.347736167907716,1.472813989027309,0.009061956405639648,0.0007729499682695728,"(50, 50)","(-1, 1)","{'mlp__hidden_layer_sizes': (50, 50), 'scaler__feature_range': (-1, 1)}",0.6704761904761904,0.4983388704318937,0.7641148325358852,0.7473532242540905,0.6475409836065574,0.6655648202609233,0.09456737967026523,8
13.004802417755126,1.0441581678433345,0.010247421264648438,0.00021238165367891843,"(100, 50)","(0, 1)","{'mlp__hidden_layer_sizes': (100, 50), 'scaler__feature_range': (0, 1)}",0.6657142857142857,0.5021357380161366,0.7813397129186603,0.7512030798845043,0.6639344262295082,0.6728654485526191,0.0971421503385544,5
11.245539474487305,2.4015873097720317,0.010235595703125,0.0002120381983418681,"(100, 50)","(-1, 1)","{'mlp__hidden_layer_sizes': (100, 50), 'scaler__feature_range': (-1, 1)}",0.6552380952380953,0.4973896535358329,0.7641148325358852,0.7545717035611165,0.654291224686596,0.6651211019115051,0.09607285534866114,9
15.861584997177124,1.5563621361100666,0.012185144424438476,0.0008825439057772852,"(100, 100)","(0, 1)","{'mlp__hidden_layer_sizes': (100, 100), 'scaler__feature_range': (0, 1)}",0.6752380952380952,0.5007119126720455,0.7555023923444976,0.71944177093359,0.6673095467695275,0.6636407435915512,0.08745979623896438,10
13.384351778030396,4.294375436670811,0.008679533004760742,0.0016557050595690792,"(100, 100)","(-1, 1)","{'mlp__hidden_layer_sizes': (100, 100), 'scaler__feature_range': (-1, 1)}",0.6576190476190477,0.5007119126720455,0.7889952153110048,0.746390760346487,0.6456123432979749,0.667865855849312,0.09937719956748592,6
