mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__class_weight,param_rf__criterion,param_rf__n_estimators,param_scaler__with_centering,param_scaler__with_scaling,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.2730340480804445,0.08556732180611856,0.059682464599609374,0.0044024358079535275,,entropy,100,True,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_centering': True, 'scaler__with_scaling': True}",0.6333333333333333,0.49406739439962033,0.6851674641148325,0.6833493743984601,0.6287367405978785,0.6249308613688249,0.06964410127784633,6
3.242339038848877,0.09547901631875685,0.059097003936767575,0.004446024877323896,,entropy,100,True,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_centering': True, 'scaler__with_scaling': False}",0.6361904761904762,0.4907451352634077,0.6904306220095694,0.6799807507218479,0.6297010607521697,0.6254096089874942,0.07137913670518838,4
3.1187787532806395,0.09697352198805537,0.058649206161499025,0.002983028003065409,,entropy,100,False,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_centering': False, 'scaler__with_scaling': True}",0.6390476190476191,0.4897959183673469,0.6947368421052632,0.6828681424446583,0.6205400192864031,0.6253977082502582,0.07308697410147702,5
3.11405348777771,0.0652446990954777,0.05613265037536621,0.0021244507270672783,,entropy,100,False,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_centering': False, 'scaler__with_scaling': False}",0.638095238095238,0.4945420028476507,0.6942583732057416,0.6823869104908566,0.6200578592092575,0.6258680767697489,0.07113566054486224,2
3.8697911739349364,0.08276520306416005,0.07110967636108398,0.005027475072935536,,entropy,125,True,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__with_centering': True, 'scaler__with_scaling': True}",0.6366666666666667,0.49121974371143806,0.6889952153110048,0.6823869104908566,0.6195756991321119,0.6237688470624156,0.07133548557942064,10
3.9034557819366453,0.08388490694034911,0.07003259658813477,0.003109665232366388,,entropy,125,True,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__with_centering': True, 'scaler__with_scaling': False}",0.63,0.49169435215946844,0.6909090909090909,0.6847930702598652,0.6263259402121505,0.624744490708115,0.07171617244973802,8
3.924778604507446,0.11832398499166495,0.07195205688476562,0.004956838174779266,,entropy,125,False,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__with_centering': False, 'scaler__with_scaling': True}",0.6290476190476191,0.4959658281917418,0.6861244019138756,0.6790182868142445,0.626808100289296,0.6233928472513555,0.06827989903440324,11
3.9423458099365236,0.08142268230622603,0.08179998397827148,0.012054065652404437,,entropy,125,False,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__with_centering': False, 'scaler__with_scaling': False}",0.6385714285714286,0.48599905078310396,0.6904306220095694,0.6823869104908566,0.626808100289296,0.6248392224288509,0.07359756969959194,7
4.877375984191895,0.0910367572184245,0.08063888549804688,0.002857018501547189,,entropy,150,True,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__with_centering': True, 'scaler__with_scaling': True}",0.6361904761904762,0.49406739439962033,0.6894736842105263,0.6814244465832531,0.6205400192864031,0.6243392041340559,0.07018098925871971,9
4.750871896743774,0.09596349484793001,0.079170560836792,0.0017407471634718296,,entropy,150,True,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__with_centering': True, 'scaler__with_scaling': False}",0.6319047619047619,0.4902705268153773,0.69377990430622,0.6809432146294514,0.6181292189006751,0.6230055253112972,0.07223204713631273,12
4.6878214359283445,0.09331021002008515,0.08920307159423828,0.016367742603223434,,entropy,150,False,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__with_centering': False, 'scaler__with_scaling': True}",0.6347619047619047,0.4959658281917418,0.69377990430622,0.6833493743984601,0.626808100289296,0.6269330223895245,0.07051953397003158,1
4.7472755908966064,0.11043061362296702,0.08188161849975586,0.003152503888726838,,entropy,150,False,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__with_centering': False, 'scaler__with_scaling': False}",0.6390476190476191,0.4883720930232558,0.6942583732057416,0.6804619826756496,0.6258437801350049,0.6255967696174541,0.07312483250197212,3
3.1927520751953127,0.0616381794797852,0.05685749053955078,0.002904707866947685,balanced,entropy,100,True,True,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_centering': True, 'scaler__with_scaling': True}",0.6252380952380953,0.49406739439962033,0.6631578947368421,0.6395572666025024,0.5785920925747348,0.600122548710359,0.059783942323304355,28
3.1765870571136476,0.0587875018142807,0.06296730041503906,0.009202356342360397,balanced,entropy,100,True,False,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_centering': True, 'scaler__with_scaling': False}",0.6290476190476191,0.4926435690555292,0.6679425837320574,0.6395572666025024,0.5819672131147541,0.6022316503104925,0.06140100903084038,16
