mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,param_mlp__learning_rate_init,param_scaler__with_mean,param_scaler__with_std,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
86.60209822654724,14.176814655920621,0.07856779098510742,0.018923075341517697,relu,0.0001,"(100,)",constant,0.001,False,False,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.001, 'scaler__with_mean': False, 'scaler__with_std': False}",0.604461958939808,0.5898951382268828,0.6802491894984426,0.5980928162746345,0.6298792116973935,0.6205156629274322,0.03272275122556521,74
22.90025691986084,2.4163940875808647,0.03175129890441895,0.003720241568152214,relu,0.0001,"(100,)",constant,0.01,True,True,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.01, 'scaler__with_mean': True, 'scaler__with_std': True}",0.5798004195004132,0.5916110581506197,0.6838090394761935,0.57546090273363,0.6162110616656071,0.6093784963052927,0.03981843127464034,311
22.53626618385315,5.590193690749034,0.037771177291870114,0.008757193953954882,relu,0.0001,"(100,)",constant,0.01,True,False,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.01, 'scaler__with_mean': True, 'scaler__with_std': False}",0.6035721095785928,0.6088338099777566,0.6602886021231963,0.5827082008900191,0.6280356007628735,0.6166876646664876,0.02614621264360528,208
34.998148345947264,9.322691694234805,0.05751323699951172,0.0036594205816537287,relu,0.0001,"(100,)",constant,0.01,False,True,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.01, 'scaler__with_mean': False, 'scaler__with_std': True}",0.5932752812559589,0.6034318398474738,0.6772614582671159,0.5947870311506676,0.6390336935791481,0.6215578608200728,0.03241428624373284,38
23.423317098617552,2.4225033802842204,0.040606451034545896,0.007490396561710497,relu,0.0001,"(100,)",constant,0.01,False,False,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.01, 'scaler__with_mean': False, 'scaler__with_std': False}",0.5750969300197039,0.5665713377820146,0.6610514271184286,0.5854418308963764,0.6215511760966307,0.6019425403826308,0.0349926885747049,332
64.70996117591858,11.34109682398764,0.07262921333312988,0.010313837674839857,relu,0.0001,"(50, 50)",constant,0.001,True,True,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.001, 'scaler__with_mean': True, 'scaler__with_std': True}",0.5915591432021865,0.6015252621544328,0.6789778145063886,0.585632549268913,0.6284806102987921,0.6172350758861426,0.03418595990117251,188
80.41726956367492,18.622840107272,0.05452742576599121,0.008175141403562366,relu,0.0001,"(50, 50)",constant,0.001,True,False,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.001, 'scaler__with_mean': True, 'scaler__with_std': False}",0.5851395156677048,0.6051477597712107,0.6779607145127455,0.5872218690400508,0.633375715193897,0.6177691148371218,0.034709417216801354,172
76.25110774040222,42.359738457178445,0.13005499839782714,0.059161502515183005,relu,0.0001,"(50, 50)",constant,0.001,False,True,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.001, 'scaler__with_mean': False, 'scaler__with_std': True}",0.5927032352380347,0.5986653956148713,0.6770707520183078,0.5919262555626192,0.633121424030515,0.6186974124928696,0.032891253156213086,136
151.0907636642456,43.016710217930054,0.12281413078308105,0.03159882202954682,relu,0.0001,"(50, 50)",constant,0.001,False,False,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.001, 'scaler__with_mean': False, 'scaler__with_std': False}",0.6013474861755546,0.6047028916428344,0.6780878520119509,0.5830260648442467,0.6343293070565797,0.6202987203462332,0.033250777734728634,81
36.274573802948,8.684916521347148,0.053460693359375,0.02356351927451451,relu,0.0001,"(50, 50)",constant,0.01,True,True,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'constant', 'mlp__learning_rate_init': 0.01, 'scaler__with_mean': True, 'scaler__with_std': True}",0.5883811097692748,0.609659993644741,0.6698239145636006,0.5921805467260013,0.6251112523839797,0.6170313634175194,0.029479061311015794,193
