mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32.73404884338379,0.25769687983627926,1.3588695526123047,0.06747659370548968,,entropy,,sqrt,1,2,100,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.5498633445623848,0.563266603114077,0.6144555336596529,0.5535282898919263,0.5790845518118245,0.5720396646079731,0.023495374675634256,462
41.29376873970032,0.5804504672709612,1.1782753944396973,0.08682323031645532,,entropy,,sqrt,1,2,125,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 125}",0.5517066039534736,0.5635208134731491,0.6144555336596529,0.5522568340750159,0.5810553083280356,0.5725990186978654,0.023478449515415216,459
48.1108717918396,0.557550688893847,1.06606764793396,0.07089970325950684,,entropy,,sqrt,1,2,150,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.5496091018877518,0.5628217349857007,0.6156633399021041,0.5557533375715193,0.5779402415766052,0.5723575511847362,0.023624908102074675,461
30.173108625411988,0.3547757287715055,0.5899074077606201,0.09515361274770158,,entropy,,sqrt,1,5,100,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.5621941142820822,0.5727359389895138,0.6251986523425084,0.5600762873490146,0.591036236490782,0.5822482458907803,0.024108978061688994,192
37.93330950737,0.11512737618248074,0.6371169567108155,0.017286444347933062,,entropy,,sqrt,1,5,125,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 125}",0.5600330515477023,0.5722275182713695,0.6257707710889326,0.5628734901462175,0.5917355371900826,0.582528073648861,0.02430283267372459,177
45.373434734344485,0.26604408691770864,0.7958672523498536,0.09903886289433207,,entropy,,sqrt,1,5,150,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.5613042649208669,0.5710835716555449,0.6255164960905218,0.5635092180546726,0.5902097902097903,0.5823246681862793,0.023874462990166666,185
28.74516534805298,0.4383128130796133,0.44719901084899905,0.03753191148213917,,entropy,,sqrt,1,10,100,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.5661348757388928,0.58061646012075,0.6402008772487445,0.5689129052765416,0.5992371265098538,0.5910204489789566,0.02721215369149956,107
36.25051422119141,0.31103368608020554,0.5709644794464112,0.015497464969846072,,entropy,,sqrt,1,10,125,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 125}",0.5688044238225386,0.5784556720686368,0.6396287585023203,0.5698664971392244,0.5992371265098538,0.5911984956085148,0.02656704015259812,104
42.91732196807861,0.2867953682466793,0.7091272830963135,0.029761157993461036,,entropy,,sqrt,1,10,150,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150}",0.5668340430941333,0.5791547505560851,0.6374674210158287,0.5717736808645899,0.6015893197711379,0.5913638430603549,0.025940885702983436,103
28.979163646697998,0.11894909990786297,0.49125142097473146,0.023877325142046806,,entropy,,sqrt,2,2,100,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.5613678255895252,0.5743247537337146,0.6297756023139025,0.5656071201525747,0.5949141767323586,0.5851978957044152,0.02510567261912603,137
36.62190742492676,0.22860213705674964,0.6039375782012939,0.014496087094607743,,entropy,,sqrt,2,2,125,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 125}",0.5618127502701329,0.5762948840165236,0.6281228148242324,0.5657342657342658,0.5940241576605213,0.5851977745011352,0.024188481213996752,138
43.70082612037659,0.23576313359048828,0.7375390529632568,0.026764396773825343,,entropy,,sqrt,2,2,150,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.5623847962880569,0.5771846202732761,0.6293941898162864,0.5647806738715829,0.593261284170375,0.5854011128839154,0.02457493518263191,133
29.132206630706786,0.10105392078067252,0.48618717193603517,0.024749608943043958,,entropy,,sqrt,2,5,100,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.5628297209686646,0.573117254528122,0.6316190960523806,0.5673235855054037,0.593134138588684,0.5856047591286511,0.025230347603487586,131
