mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__class_weight,param_rf__criterion,param_rf__n_estimators,param_scaler__feature_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.228059482574463,0.08782619120178949,0.06310563087463379,0.00643011443093781,,entropy,100,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.6342857142857142,0.4921689606074988,0.683732057416268,0.6843118383060636,0.6190935390549662,0.6227184219341022,0.07029440452272404,6
3.18021821975708,0.07337989126147179,0.059092044830322266,0.0032897784331044296,,entropy,100,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.6352380952380953,0.4855244423350736,0.6956937799043063,0.6794995187680462,0.6263259402121505,0.6244563552915343,0.07419749081034292,3
3.8802369594573975,0.08159039363319082,0.07111120223999023,0.004542255640885883,,entropy,125,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__feature_range': (0, 1)}",0.6385714285714286,0.4855244423350736,0.6894736842105263,0.6819056785370549,0.624397299903568,0.6239745067115303,0.07352255725943659,5
3.9103065013885496,0.09694854532126664,0.07053298950195312,0.006687378996200702,,entropy,125,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__feature_range': (-1, 1)}",0.6342857142857142,0.4878974845752254,0.69377990430622,0.6838306063522618,0.6215043394406943,0.6242596097920231,0.07359961747208961,4
4.735254955291748,0.11916840521667357,0.0804934024810791,0.0031512429702708713,,entropy,150,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__feature_range': (0, 1)}",0.6371428571428571,0.4869482676791647,0.6942583732057416,0.6891241578440809,0.6287367405978785,0.6272420792939446,0.07497091207553491,1
4.702128553390503,0.10317483818877493,0.08122386932373046,0.003634158693487382,,entropy,150,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__feature_range': (-1, 1)}",0.6385714285714286,0.48884670147128617,0.6956937799043063,0.6799807507218479,0.6219864995178399,0.6250158320373418,0.07314571453298392,2
3.11826639175415,0.061307186138543364,0.056111478805541994,0.0018296400991109313,balanced,entropy,100,"(0, 1)","{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.628095238095238,0.49169435215946844,0.6674641148325359,0.6308950914340712,0.5756991321118612,0.5987695857266349,0.06100546173309211,17
3.125177431106567,0.07095961205105443,0.05690774917602539,0.00175026674874149,balanced,entropy,100,"(-1, 1)","{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.6323809523809524,0.4973896535358329,0.6645933014354067,0.6357074109720885,0.5756991321118612,0.6011540900872283,0.059344074055828755,11
3.9842697620391845,0.06336498696058773,0.07496175765991211,0.01363115867712233,balanced,entropy,125,"(0, 1)","{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__feature_range': (0, 1)}",0.6238095238095238,0.4931181775035596,0.6688995215311004,0.6429258902791145,0.5819672131147541,0.6021440652476104,0.06145338046289183,9
4.004050922393799,0.0717591399065829,0.07201523780822754,0.004473120756423171,balanced,entropy,125,"(-1, 1)","{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__feature_range': (-1, 1)}",0.6204761904761905,0.4897959183673469,0.6650717703349283,0.6371511068334937,0.5776277724204436,0.5980245516864806,0.06108970225015595,18
4.753863430023193,0.08885641586910947,0.082889986038208,0.0036317301540255017,balanced,entropy,150,"(0, 1)","{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__feature_range': (0, 1)}",0.6266666666666667,0.49169435215946844,0.6684210526315789,0.6361886429258903,0.579556412729026,0.600505425422526,0.06139860873263576,14
4.696085977554321,0.07652733222672024,0.08357911109924317,0.003143317355106906,balanced,entropy,150,"(-1, 1)","{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__feature_range': (-1, 1)}",0.6223809523809524,0.4926435690555292,0.6660287081339713,0.6357074109720885,0.5810028929604629,0.5995527067006009,0.06003500563867279,16
3.550074577331543,0.04318192169755815,0.05761709213256836,0.0030437616577574686,balanced_subsample,entropy,100,"(0, 1)","{'rf__class_weight': 'balanced_subsample', 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.6271428571428571,0.4907451352634077,0.6712918660287082,0.6414821944177094,0.5756991321118612,0.6012722369929087,0.0633389327717774,10
3.5715967178344727,0.06952311720452968,0.05752320289611816,0.0018021600766357177,balanced_subsample,entropy,100,"(-1, 1)","{'rf__class_weight': 'balanced_subsample', 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.62,0.4897959183673469,0.6712918660287082,0.6342637151106834,0.5853423336547734,0.6001387666323024,0.06167045134476412,15
