mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__class_weight,param_rf__criterion,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,param_scaler__feature_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27.625776720046996,0.2853218247049388,0.4714846611022949,0.07278846146769354,,entropy,20,sqrt,1,10,100,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.574334201995805,0.5836669844296155,0.6449685334689467,0.5739987285441831,0.6075651621106166,0.5969067221098334,0.026955984647986278,30
27.77346029281616,0.15080159633296328,0.4433304786682129,0.044085842392087245,,entropy,20,sqrt,1,10,100,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.5748426873450708,0.5872259294566253,0.6484648146970949,0.5736808645899555,0.6083280356007629,0.5985084663379019,0.027913563814972446,25
34.74833188056946,0.19332467747575385,0.5057590484619141,0.019142837449859854,,entropy,20,sqrt,1,10,125,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 125, 'scaler__feature_range': (0, 1)}",0.5728087459480073,0.5867810613282491,0.6475112834530545,0.5731722822631914,0.6079465988556898,0.5976439943696384,0.02802337507000775,29
34.396558618545534,0.298455619722161,0.5345867156982422,0.015846370009768802,,entropy,20,sqrt,1,10,125,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 125, 'scaler__feature_range': (-1, 1)}",0.5747791266764126,0.586526850969177,0.648655520945903,0.5740623013350286,0.6067387158296249,0.5981525031512291,0.027878616158499035,27
41.36112279891968,0.11590114712307685,0.6137104034423828,0.029114374125920536,,entropy,20,sqrt,1,10,150,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 150, 'scaler__feature_range': (0, 1)}",0.5719824572554504,0.5897680330473467,0.647193439705041,0.57546090273363,0.6099809281627463,0.5988771521808429,0.02761296393315838,22
41.37910618782043,0.5143747552699262,0.6715573787689209,0.06638220441002382,,entropy,20,sqrt,1,10,150,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 150, 'scaler__feature_range': (-1, 1)}",0.5738257166465391,0.5848744836352081,0.6470027334562329,0.575333757151939,0.6103623649078195,0.5982798111595478,0.02765551735627005,26
27.452644538879394,0.21428603834036483,0.5012238979339599,0.0800274460099358,,entropy,20,sqrt,2,2,100,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.570520561876311,0.5816968541468065,0.6410272709935796,0.5726636999364272,0.6050222504767959,0.5941861274859841,0.02642260440745204,37
27.71163649559021,0.5477934536413144,0.5505921840667725,0.07084759095399075,,entropy,20,sqrt,2,2,100,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.5697578338524121,0.5811248808388941,0.6380395397622529,0.5741258741258741,0.6048951048951049,0.5935886466949076,0.02532102094165587,40
35.19896545410156,0.3360474868731018,0.5620856761932373,0.031424217123873034,,entropy,20,sqrt,2,2,125,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 125, 'scaler__feature_range': (0, 1)}",0.5714739719061844,0.5815697489672704,0.6374674210158287,0.5728544183089638,0.603560076287349,0.5933851272971193,0.024851519525597724,43
35.01317939758301,0.28304111781180197,0.5441874504089356,0.011974437582882682,,entropy,20,sqrt,2,2,125,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 125, 'scaler__feature_range': (-1, 1)}",0.570266319201678,0.5830314585319352,0.6377852647638421,0.571900826446281,0.6040050858232676,0.5933977909534007,0.025248397382892883,41
41.77374639511108,0.5111668523922024,0.6520866394042969,0.022677635911214692,,entropy,20,sqrt,2,2,150,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150, 'scaler__feature_range': (0, 1)}",0.5709654865569186,0.5840482999682237,0.64198080223762,0.5735537190082645,0.6047043865225683,0.5950505388587191,0.026301705892191513,33
42.34939465522766,0.1802827358462588,0.6503754138946534,0.025046903899620294,,entropy,20,sqrt,2,2,150,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150, 'scaler__feature_range': (-1, 1)}",0.5697578338524121,0.5840482999682237,0.6398194647511284,0.5713286713286714,0.6041958041958042,0.5938300148192479,0.02609191980381597,38
27.20236463546753,0.3899750183353081,0.44531726837158203,0.01987646373456265,,entropy,20,sqrt,2,5,100,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.5709019258882604,0.5860819828408007,0.6398830335007311,0.5725365543547362,0.60368722186904,0.5946181436907136,0.02551109580174617,34
27.451634168624878,0.12223679401364902,0.4293210029602051,0.02752729849322735,,entropy,20,sqrt,2,5,100,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.5689951058285133,0.5834763266603115,0.6421715084864281,0.5744437380801017,0.6061665607120152,0.595050647953474,0.0267635570773911,32
34.03778128623962,0.5435289990960868,0.6392408847808838,0.08967400568167705,,entropy,20,sqrt,2,5,125,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 125, 'scaler__feature_range': (0, 1)}",0.5711561685628933,0.5829043533523991,0.6386116585086772,0.5710108073744438,0.6043229497774952,0.5936011875151818,0.025571175557035204,39
34.131730031967166,0.20243063612970144,0.5345970630645752,0.014926175484752115,,entropy,20,sqrt,2,5,125,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 125, 'scaler__feature_range': (-1, 1)}",0.5705841225449692,0.5834763266603115,0.6431886084800712,0.5739351557533375,0.6041958041958042,0.5950760035268987,0.026755686130793717,31
40.32890701293945,0.16896993769132532,0.6643199920654297,0.04145096350588678,,entropy,20,sqrt,2,5,150,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 150, 'scaler__feature_range': (0, 1)}",0.569440030509121,0.5825230378137909,0.6419172334880173,0.5735537190082645,0.605276541640178,0.5945421124918744,0.026738419532755464,35
40.7600601196289,0.24131723003019956,0.6307657718658447,0.021497585236874492,,entropy,20,sqrt,2,5,150,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 150, 'scaler__feature_range': (-1, 1)}",0.5689951058285133,0.582713695583095,0.6409001334943741,0.5732994278448824,0.6063572790845518,0.5944531283670834,0.026579831937188263,36
26.011639165878297,0.3088355380824944,0.40874438285827636,0.01145021622553782,,entropy,20,sqrt,2,10,100,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.5750969300197039,0.5869081665077852,0.6469391647066303,0.5748251748251748,0.6097902097902098,0.5987119291699008,0.02726231310798898,23
26.61526937484741,0.23376591280399836,0.4065849781036377,0.01614498813570878,,entropy,20,sqrt,2,10,100,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.5747791266764126,0.5857642198919606,0.6495454834403407,0.5765416401780038,0.6080101716465353,0.5989281283666507,0.027936419839268138,21
33.08893876075744,0.2560693057495611,0.5226434707641602,0.027005894766709455,,entropy,20,sqrt,2,10,125,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 125, 'scaler__feature_range': (0, 1)}",0.5749062480137291,0.5852557991738163,0.6447142584705359,0.5757787666878575,0.6095994914176732,0.5980509127527224,0.026481225162265126,28
33.34054818153381,0.2570673485131699,0.5173552513122559,0.023812941667162555,,entropy,20,sqrt,2,10,125,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 125, 'scaler__feature_range': (-1, 1)}",0.573253670628615,0.5890689545598983,0.6484012459474923,0.5752701843610935,0.6073744437380801,0.5986736998470358,0.02769362865363609,24
39.408249092102054,0.1326206910324794,0.6367568016052246,0.0564699896977591,,entropy,20,sqrt,2,10,150,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 150, 'scaler__feature_range': (0, 1)}",0.5756689760376279,0.5896409278678106,0.651579683427627,0.5752066115702479,0.608836617927527,0.600186563366168,0.028468918988150287,9
39.62840414047241,0.25539443793382527,0.5976262569427491,0.02507281702326038,,entropy,20,sqrt,2,10,150,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 150, 'scaler__feature_range': (-1, 1)}",0.5730629886226403,0.5891325071496664,0.6495454834403407,0.5765416401780038,0.6106802288620471,0.5997925696505396,0.028151755573916512,16
24.86759958267212,0.3056714979642009,0.3879788875579834,0.014615034072724208,,entropy,20,sqrt,4,2,100,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 2, 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.5754782940316532,0.5858913250714967,0.6491640709427245,0.5760330578512397,0.6083280356007629,0.5989789566995753,0.02777060492434536,20
25.4493097782135,0.08673108609757214,0.4283719062805176,0.05333251551912328,,entropy,20,sqrt,4,2,100,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 2, 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.5731265492912986,0.5891325071496664,0.6481469709490815,0.5780673871582962,0.6083916083916084,0.5993730045879901,0.027231997894556065,19
31.823315382003784,0.46690291985480187,0.49500341415405275,0.04204885773400203,,entropy,20,sqrt,4,2,125,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 2, 'rf__n_estimators': 125, 'scaler__feature_range': (0, 1)}",0.5759867793809191,0.5869717190975532,0.6510711334308055,0.5750794659885569,0.6094087730451366,0.5997035741885942,0.02850877135901473,17
32.00891923904419,0.2276877223362057,0.5055851936340332,0.02708156496442764,,entropy,20,sqrt,4,2,125,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 2, 'rf__n_estimators': 125, 'scaler__feature_range': (-1, 1)}",0.5756054153689697,0.5881156657133778,0.6495454834403407,0.57730451366815,0.6125874125874126,0.6006316981556502,0.027794319321686717,4
37.85550174713135,0.3179534659080248,0.6211089611053466,0.04566968010237986,,entropy,20,sqrt,4,2,150,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 2, 'rf__n_estimators': 150, 'scaler__feature_range': (0, 1)}",0.576241022055552,0.5881792183031459,0.6509439959316,0.5766687857596948,0.6082008900190718,0.6000467824138129,0.027968195674476552,11
38.699913358688356,0.30121430126757487,0.6398410797119141,0.09150294581897697,,entropy,20,sqrt,4,2,150,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 2, 'rf__n_estimators': 150, 'scaler__feature_range': (-1, 1)}",0.5731265492912986,0.5871623768668573,0.6522153709236539,0.5783216783216784,0.6089637635092181,0.5999579477825413,0.0288573100842382,13
25.534985542297363,0.3455819185507447,0.39313454627990724,0.013011479459332297,,entropy,20,sqrt,4,5,100,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.5750333693510455,0.588433428662218,0.6487826584451084,0.5763509218054672,0.6111888111888112,0.59995783789053,0.027645344962572038,14
25.653065776824953,0.1927776807166595,0.3891261577606201,0.012164038659766039,,entropy,20,sqrt,4,5,100,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.5770037500794508,0.58836987607245,0.6483376771978895,0.57730451366815,0.6091544818817546,0.600034059779939,0.026830960355102493,12
32.06578793525696,0.24067980120243077,0.4955332279205322,0.018734458213806284,,entropy,20,sqrt,4,5,125,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 125, 'scaler__feature_range': (0, 1)}",0.5761139007182355,0.5898315856371147,0.6489097959443137,0.5769230769230769,0.6109345200254291,0.600542575849634,0.02726443358292909,5
31.732396030426024,0.1469322084246097,0.4867559909820557,0.019536554906459246,,entropy,20,sqrt,4,5,125,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 125, 'scaler__feature_range': (-1, 1)}",0.5735714739719062,0.5880521131236098,0.6487826584451084,0.5786395422759059,0.6092816274634456,0.5996654830559953,0.027432918213068848,18
38.80150685310364,0.225458432328684,0.642963981628418,0.0650228223284902,,entropy,20,sqrt,4,5,150,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 150, 'scaler__feature_range': (0, 1)}",0.5763045827242103,0.5862726406101049,0.647829127201068,0.577050222504768,0.6115702479338843,0.5998053641948072,0.027195264710452714,15
38.839632177352904,0.30747663285538046,0.5901509761810303,0.022280293408704577,,entropy,20,sqrt,4,5,150,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 150, 'scaler__feature_range': (-1, 1)}",0.5755418547003115,0.5881792183031459,0.6492276396923272,0.5777495232040687,0.6102987921169739,0.6001994056033655,0.027430793954403142,8
25.542897939682007,0.2597912908694727,0.3999456882476807,0.020459763751454734,,entropy,20,sqrt,4,10,100,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.5778935994406661,0.5895138226882746,0.6496090521899435,0.5766052129688494,0.6083916083916084,0.6004026591358683,0.027116915013399714,7
25.291093158721925,0.3620772799164271,0.46974687576293944,0.09433074569462105,,entropy,20,sqrt,4,10,100,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.5755418547003115,0.5888782967905942,0.6492276396923272,0.5769866497139224,0.6099173553719008,0.6001103592538113,0.02747056969410769,10
32.767085027694705,0.37045540503374924,0.5553323745727539,0.06019320876641958,,entropy,20,sqrt,4,10,125,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 125, 'scaler__feature_range': (0, 1)}",0.5763681433928685,0.590340006355259,0.6508804271819973,0.5767323585505404,0.6095359186268278,0.6007713708214986,0.027820639144691815,3
32.318451976776124,0.48943983373696626,0.5260918617248536,0.07026406699603438,,entropy,20,sqrt,4,10,125,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 125, 'scaler__feature_range': (-1, 1)}",0.5768766287421344,0.5912932952017794,0.6502447396859704,0.5791481246026701,0.6080101716465353,0.6011145919758178,0.026936157312851115,2
38.687081813812256,0.35703451876410097,0.6268263816833496,0.04503112513332281,,entropy,20,sqrt,4,10,150,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 150, 'scaler__feature_range': (0, 1)}",0.577067310748109,0.5876707975850016,0.6497997584387515,0.5795295613477431,0.6081373172282263,0.6004409490695662,0.02698968698948041,6
35.66708488464356,2.6347345825654864,0.4877452373504639,0.09175152486170807,,entropy,20,sqrt,4,10,150,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 150, 'scaler__feature_range': (-1, 1)}",0.5792919341511473,0.5893231649189704,0.6485919521963003,0.5780038143674507,0.6111252383979656,0.6012672208063669,0.02647100483823062,1
