mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__class_weight,param_rf__criterion,param_rf__n_estimators,param_scaler__with_mean,param_scaler__with_std,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.136629343032837,0.06114272499503622,0.0647355079650879,0.005358622604858215,,entropy,100,True,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_mean': True, 'scaler__with_std': True}",0.6342857142857142,0.48742287612719504,0.6880382775119617,0.6766121270452358,0.6186113789778206,0.6209940747895855,0.07157080813757177,12
3.14238600730896,0.059922241219857744,0.06190028190612793,0.004706993067319915,,entropy,100,True,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_mean': True, 'scaler__with_std': False}",0.6404761904761904,0.49169435215946844,0.6889952153110048,0.6804619826756496,0.6258437801350049,0.6254943041514636,0.07096593211506565,2
3.1253103733062746,0.08033212333017813,0.06373963356018067,0.005390193108393974,,entropy,100,False,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_mean': False, 'scaler__with_std': True}",0.6390476190476191,0.48742287612719504,0.6894736842105263,0.6804619826756496,0.6253616200578592,0.6243535564237698,0.07260265754721777,6
3.1346837997436525,0.07600893903490116,0.06106810569763184,0.009668151690831722,,entropy,100,False,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_mean': False, 'scaler__with_std': False}",0.6395238095238095,0.48410061699098245,0.6894736842105263,0.6799807507218479,0.624397299903568,0.6234952322701468,0.0738002136837348,9
3.875049877166748,0.10176534086370109,0.06765232086181641,0.0036056861569840983,,entropy,125,True,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__with_mean': True, 'scaler__with_std': True}",0.6328571428571429,0.48647365923113434,0.69377990430622,0.6823869104908566,0.6253616200578592,0.6241718473886426,0.07385379624376201,7
3.8968683242797852,0.08530855269887969,0.06804356575012208,0.0020841324361392933,,entropy,125,True,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__with_mean': True, 'scaler__with_std': False}",0.6347619047619047,0.4907451352634077,0.6904306220095694,0.6794995187680462,0.624397299903568,0.6239668961412992,0.07122647550176954,8
3.9040148735046385,0.06402599949001905,0.06963558197021484,0.003341187672676089,,entropy,125,False,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__with_mean': False, 'scaler__with_std': True}",0.6352380952380953,0.4907451352634077,0.6818181818181818,0.6804619826756496,0.6272902603664416,0.6231107310723552,0.0698869418620164,10
3.874870252609253,0.10320564318786932,0.06786122322082519,0.0019172630993589783,,entropy,125,False,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 125, 'scaler__with_mean': False, 'scaler__with_std': False}",0.6319047619047619,0.48647365923113434,0.6942583732057416,0.685274302213667,0.624397299903568,0.6244616792917745,0.07438528200081695,5
4.714554119110107,0.10015294290807257,0.07980408668518066,0.0009065521357185558,,entropy,150,True,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__with_mean': True, 'scaler__with_std': True}",0.6371428571428571,0.48884670147128617,0.6956937799043063,0.6828681424446583,0.6248794599807136,0.6258861881887643,0.07352222791695229,1
4.69754843711853,0.06557641036266523,0.08092594146728516,0.002611734357280333,,entropy,150,True,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__with_mean': True, 'scaler__with_std': False}",0.6347619047619047,0.4921689606074988,0.6909090909090909,0.6823869104908566,0.6229508196721312,0.6246355372882965,0.07124630593300416,4
4.6543896198272705,0.09279070352911584,0.08019428253173828,0.001702137014140021,,entropy,150,False,True,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__with_mean': False, 'scaler__with_std': True}",0.6423809523809524,0.48742287612719504,0.691866028708134,0.6785370548604427,0.624397299903568,0.6249208423960584,0.07289331447380347,3
4.67159366607666,0.09558110238440658,0.08139114379882813,0.002453034457620539,,entropy,150,False,False,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__n_estimators': 150, 'scaler__with_mean': False, 'scaler__with_std': False}",0.638095238095238,0.48410061699098245,0.6875598086124401,0.6799807507218479,0.6215043394406943,0.6222481507722406,0.07339630817492145,11
3.1472848892211913,0.08452947979241396,0.055710983276367185,0.000489674485969236,balanced,entropy,100,True,True,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_mean': True, 'scaler__with_std': True}",0.6242857142857143,0.4883720930232558,0.6674641148325359,0.6357074109720885,0.5761812921890067,0.5984021250605203,0.06234031816251438,33
3.334382677078247,0.09092646395268882,0.05725154876708984,0.003850853632956999,balanced,entropy,100,True,False,"{'rf__class_weight': 'balanced', 'rf__criterion': 'entropy', 'rf__n_estimators': 100, 'scaler__with_mean': True, 'scaler__with_std': False}",0.628095238095238,0.49359278595158995,0.6708133971291866,0.6395572666025024,0.5781099324975892,0.6020337240552214,0.06188642346558055,15
