mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__hidden_layer_sizes,param_scaler__with_centering,param_scaler__with_scaling,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
8.040794038772583,0.18510011398883106,0.006939411163330078,0.0005133230963532508,"(50,)",True,True,"{'mlp__hidden_layer_sizes': (50,), 'scaler__with_centering': True, 'scaler__with_scaling': True}",0.6628571428571428,0.4950166112956811,0.7363636363636363,0.7555341674687199,0.6470588235294118,0.6593660763029183,0.09203404661152297,15
6.875468015670776,1.0348831801905272,0.006118011474609375,0.0001325975511032473,"(50,)",True,False,"{'mlp__hidden_layer_sizes': (50,), 'scaler__with_centering': True, 'scaler__with_scaling': False}",0.6757142857142857,0.5021357380161366,0.7229665071770335,0.7560153994225216,0.660559305689489,0.6634782472038933,0.08751185490476036,11
7.360332822799682,1.4687432570550683,0.00696711540222168,0.001505452280349016,"(50,)",False,True,"{'mlp__hidden_layer_sizes': (50,), 'scaler__with_centering': False, 'scaler__with_scaling': True}",0.679047619047619,0.49881347887992405,0.7440191387559809,0.7502406159769008,0.6639344262295082,0.6672110557779865,0.09088671400590126,10
3.1044740200042726,0.9634059985147997,0.009275054931640625,0.0064172162034757466,"(50,)",False,False,"{'mlp__hidden_layer_sizes': (50,), 'scaler__with_centering': False, 'scaler__with_scaling': False}",0.7104761904761905,0.5030849549121974,0.8411483253588516,0.7579403272377286,0.7208293153326905,0.7066958226635316,0.11169145624654503,1
6.991314458847046,0.5585849696122641,0.009221172332763672,0.003605165031369221,"(100,)",True,True,"{'mlp__hidden_layer_sizes': (100,), 'scaler__with_centering': True, 'scaler__with_scaling': True}",0.6728571428571428,0.4973896535358329,0.74688995215311,0.7430221366698749,0.6547733847637416,0.6629864539959405,0.09058994737996609,13
6.771381616592407,2.214728684842046,0.00840449333190918,0.000677689702696802,"(100,)",True,False,"{'mlp__hidden_layer_sizes': (100,), 'scaler__with_centering': True, 'scaler__with_scaling': False}",0.6666666666666666,0.4978642619838633,0.7497607655502392,0.7531280076997112,0.6702025072324012,0.6675244418265762,0.092610223913544,9
5.931621932983399,2.0279407870108077,0.008146905899047851,0.0010858353611269069,"(100,)",False,True,"{'mlp__hidden_layer_sizes': (100,), 'scaler__with_centering': False, 'scaler__with_scaling': True}",0.7057142857142857,0.4959658281917418,0.8229665071770335,0.7550529355149181,0.6552555448408872,0.6869910202877734,0.11042652074982323,4
3.4639214992523195,1.163749551126182,0.007759618759155274,0.0005885723216743504,"(100,)",False,False,"{'mlp__hidden_layer_sizes': (100,), 'scaler__with_centering': False, 'scaler__with_scaling': False}",0.7071428571428572,0.5097294731846227,0.7186602870813397,0.7492781520692974,0.7179363548698168,0.6805494248695867,0.08655694637587909,5
10.545085573196411,2.7379670375316447,0.008003139495849609,5.8488038003201585e-05,"(50, 50)",True,True,"{'mlp__hidden_layer_sizes': (50, 50), 'scaler__with_centering': True, 'scaler__with_scaling': True}",0.6319047619047619,0.49549121974371146,0.7200956937799043,0.7232916265640038,0.648023143683703,0.6437612891352169,0.08281880224141906,20
10.66370701789856,1.0911997512426703,0.008323955535888671,0.0005085360069393144,"(50, 50)",True,False,"{'mlp__hidden_layer_sizes': (50, 50), 'scaler__with_centering': True, 'scaler__with_scaling': False}",0.6714285714285714,0.5073564309444708,0.6808612440191387,0.7309913378248316,0.6533269045323047,0.6487928977498635,0.0752624308217445,18
8.710143804550171,2.6725038875605565,0.008253383636474609,0.00043719574618006005,"(50, 50)",False,True,"{'mlp__hidden_layer_sizes': (50, 50), 'scaler__with_centering': False, 'scaler__with_scaling': True}",0.6519047619047619,0.4950166112956811,0.8272727272727273,0.7483156881616939,0.6499517839922855,0.6744923145254298,0.11145914788506729,6
3.5189754962921143,0.9856461400960975,0.008090066909790038,8.134685394104979e-05,"(50, 50)",False,False,"{'mlp__hidden_layer_sizes': (50, 50), 'scaler__with_centering': False, 'scaler__with_scaling': False}",0.7104761904761905,0.517797816801139,0.6985645933014354,0.7367661212704524,0.7044358727097396,0.6736081189117914,0.07899140994413875,7
17.25127468109131,0.7911425880663971,0.013835525512695313,0.004446936887207669,"(100, 50)",True,True,"{'mlp__hidden_layer_sizes': (100, 50), 'scaler__with_centering': True, 'scaler__with_scaling': True}",0.6133333333333333,0.5040341718082582,0.7315789473684211,0.7540904716073147,0.6350048216007714,0.6476083491436196,0.08981834309699653,19
12.878993844985962,4.048837537217593,0.010225343704223632,0.0005653042049496494,"(100, 50)",True,False,"{'mlp__hidden_layer_sizes': (100, 50), 'scaler__with_centering': True, 'scaler__with_scaling': False}",0.6766666666666666,0.49928808732795443,0.7636363636363637,0.7415784408084697,0.6359691417550627,0.6634277400389034,0.09383002681882952,12
9.044179773330688,0.8110073467655955,0.01001877784729004,4.821608901099657e-05,"(100, 50)",False,True,"{'mlp__hidden_layer_sizes': (100, 50), 'scaler__with_centering': False, 'scaler__with_scaling': True}",0.6771428571428572,0.49406739439962033,0.7861244019138756,0.7382098171318575,0.6528447444551592,0.669677843008674,0.09943293404269256,8
5.511633396148682,1.514072537882998,0.01019144058227539,0.00020121025192038736,"(100, 50)",False,False,"{'mlp__hidden_layer_sizes': (100, 50), 'scaler__with_centering': False, 'scaler__with_scaling': False}",0.7019047619047619,0.5106786900806835,0.876555023923445,0.7555341674687199,0.680327868852459,0.7050001024460137,0.11862874386763494,2
