,timestamp,username,message_type,message,trip_idx
0,1682983419.21096,Zebra,collecting_data,true,444
1,1682983483.640894,Zebra,sitting_on_bus,true,444
2,1682983501.679795,Zebra,seat_location,front,444
3,1682983674.272992,Zebra,collecting_data,false,444
4,1683142169.465236,Reptile,collecting_data,true,287
5,1683142188.670895,Reptile,sitting_on_bus,true,287
6,1683142205.3532,Reptile,seat_location,back,287
7,1683142388.120332,Reptile,collecting_data,false,287
8,1683144300.509099,Spider,collecting_data,true,337
9,1683144346.72511,Spider,sitting_on_bus,true,337
10,1683144363.674159,Spider,seat_location,front,337
11,1683144779.7382932,Spider,collecting_data,false,337
12,1683149181.828366,Spider,collecting_data,true,-1
13,1683149285.932178,Spider,collecting_data,true,338
14,1683149291.836551,Spider,sitting_on_bus,true,338
15,1683149309.3452358,Spider,seat_location,front,338
16,1683149453.491638,Spider,collecting_data,false,338
17,1683153483.987352,Dog,collecting_data,true,-1
18,1683153515.637967,Dog,collecting_data,true,-1
19,1683153630.758542,Dog,collecting_data,true,53
20,1683153638.218706,Dog,sitting_on_bus,true,53
21,1683153654.4266229,Dog,seat_location,middle,53
22,1683153705.9189649,Dog,collecting_data,false,53
23,1683220662.818087,Spider,collecting_data,true,-1
24,1683224718.024539,Elk,collecting_data,true,78
25,1683224812.152345,Elk,sitting_on_bus,true,78
26,1683224905.4350228,Elk,collecting_data,true,78
27,1683224908.180962,Elk,sitting_on_bus,true,78
28,1683224928.398165,Elk,seat_location,front,78
29,1683225204.445765,Elk,collecting_data,true,78
30,1683225364.529876,Elk,sitting_on_bus,true,78
31,1683225381.043642,Elk,seat_location,front,78
32,1683225478.264978,Elk,collecting_data,false,78
33,1683237199.576086,Spider,collecting_data,true,339
34,1683237240.103334,Spider,sitting_on_bus,true,339
35,1683237256.4745522,Spider,seat_location,front,339
36,1683237670.746008,Spider,collecting_data,false,339
37,1683242177.096329,Guinea pig,collecting_data,true,-1
38,1683242212.7583609,Guinea pig,collecting_data,true,118
39,1683242216.401936,Guinea pig,sitting_on_bus,true,118
40,1683242234.114708,Guinea pig,seat_location,front,118
41,1683242386.916268,Guinea pig,collecting_data,true,118
42,1683242413.432405,Guinea pig,sitting_on_bus,true,118
43,1683242431.35995,Guinea pig,seat_location,front,118
44,1683242445.636002,Guinea pig,collecting_data,false,118
45,1683298460.003257,Zebra,collecting_data,true,445
46,1683298501.00011,Zebra,sitting_on_bus,true,445
47,1683298521.236876,Zebra,seat_location,middle,445
48,1683298814.5456429,Zebra,collecting_data,false,445
49,1683304689.114346,Zebra,collecting_data,true,446
50,1683304699.657227,Zebra,sitting_on_bus,true,446
51,1683304718.1315842,Zebra,seat_location,middle,446
52,1683317375.673288,Dog,collecting_data,true,54
53,1683317382.002847,Cat,collecting_data,true,0
54,1683317486.3591452,Dog,sitting_on_bus,true,54
55,1683317501.2039618,Dog,seat_location,middle,54
56,1683317509.073889,Cat,sitting_on_bus,true,0
57,1683317525.4068189,Cat,seat_location,middle,0
58,1683317641.766807,Cat,collecting_data,false,0
59,1683317642.897795,Dog,collecting_data,false,54
60,1683326003.1051478,Cat,collecting_data,true,1
61,1683326006.785231,Cat,sitting_on_bus,true,1
62,1683326024.0040278,Cat,seat_location,middle,1
63,1683326081.435628,Cat,collecting_data,false,1
64,1683349938.103057,Guinea pig,collecting_data,true,-1
65,1683350276.625104,Guinea pig,collecting_data,true,-1
66,1683350327.690748,Guinea pig,collecting_data,true,-1
67,1683350353.216197,Guinea pig,collecting_data,true,119
68,1683350356.545576,Guinea pig,sitting_on_bus,true,119
69,1683350373.965421,Guinea pig,seat_location,back,119
70,1683350580.794396,Guinea pig,collecting_data,false,119
71,1683560211.661361,Horse,collecting_data,true,131
72,1683560224.057208,Horse,sitting_on_bus,true,131
73,1683560259.039257,Horse,seat_location,front,131
74,1683560496.0501518,Horse,collecting_data,false,131
75,1683560519.6575131,Horse,collecting_data,true,-1
76,1683576269.067565,Spider,collecting_data,true,340
77,1683576278.5930328,Spider,sitting_on_bus,true,340
78,1683576295.37626,Spider,seat_location,front,340
79,1683576586.560956,Spider,collecting_data,false,340
80,1683592568.3888211,Zebra,collecting_data,true,447
81,1683592583.307939,Zebra,sitting_on_bus,true,447
82,1683592601.5235949,Zebra,seat_location,back,447
83,1683592657.7625198,Zebra,collecting_data,false,447
84,1683603621.4020948,Dolphin,collecting_data,true,75
85,1683604095.696607,Dolphin,sitting_on_bus,true,75
86,1683604361.816744,Dolphin,seat_location,back,75
87,1683604679.686257,Dolphin,collecting_data,false,75
88,1683658990.681159,Elk,collecting_data,true,-1
89,1683659050.711876,Elk,collecting_data,true,79
90,1683659053.3417811,Elk,sitting_on_bus,true,79
91,1683659072.615953,Elk,seat_location,middle,79
92,1683659417.766044,Elk,collecting_data,false,79
93,1683663648.957171,Elk,collecting_data,true,80
94,1683663651.213531,Dog,collecting_data,true,-1
95,1683663672.768026,Cat,collecting_data,true,2
96,1683663700.5333571,Dog,collecting_data,true,55
97,1683663723.868814,Dog,sitting_on_bus,true,55
98,1683663726.876885,Elk,sitting_on_bus,true,80
99,1683663727.938244,Cat,sitting_on_bus,true,2
100,1683663739.97999,Dog,seat_location,front,55
101,1683663745.728424,Cat,seat_location,front,2
102,1683663747.133525,Elk,seat_location,middle,80
103,1683663822.894726,Cat,collecting_data,false,2
104,1683663836.94401,Dog,collecting_data,false,55
105,1683664651.4632092,Elk,collecting_data,true,81
106,1683664899.351644,Elk,sitting_on_bus,true,81
107,1683664907.919225,Elk,seat_location,back,81
