timestamp,username,latitude,longitude,speed,speedAcc,vertical_acc,                altitude,course,courseAcc,heading,horizontal_acc,major,minor,rssi,rssi_accuracy,                attitude_pitch,attitude_roll,attitude_yaw,rotation_rate_x,rotation_rate_y,                rotation_rate_z,gravity_accel_x,gravity_accel_y,gravity_accel_z,user_accel_x,                user_accel_y,user_accel_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,182.18167114257812,119.65445113038047,11,2,-83,0.7763179166403393,0.4690885038268331,0.14348269358788251,-0.03213806581594046,0.18343952298164368,-0.3268856704235077,0.20092511177062988,0.12754511833190918,-0.45207342505455017,-0.8828147649765015,-0.08192130923271179,-0.016447752714157104,0.06621015071868896,0,0,0
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,182.18167114257812,119.65445113038047,11,1,-80,0.8174286649776215,0.4690885038268331,0.14348269358788251,-0.03213806581594046,0.18343952298164368,-0.3268856704235077,0.20092511177062988,0.12754511833190918,-0.45207342505455017,-0.8828147649765015,-0.08192130923271179,-0.016447752714157104,0.06621015071868896,0,0,0
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,187.66253662109375,119.65445113038047,11,2,-79,0.7755057869138899,0.5098915305783048,0.13788379988667848,-0.1160902943910933,-0.07541597634553909,0.037659745663404465,0.2172938585281372,0.11996366083621979,-0.4880825877189636,-0.8645138144493103,-0.052824974060058594,-0.017258048057556152,0.07743501663208008,0,0,0
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,187.66253662109375,119.65445113038047,11,1,-80,0.8398519530724755,0.5098915305783048,0.13788379988667848,-0.1160902943910933,-0.07541597634553909,0.037659745663404465,0.2172938585281372,0.11996366083621979,-0.4880825877189636,-0.8645138144493103,-0.052824974060058594,-0.017258048057556152,0.07743501663208008,0,0,0
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,188.85215759277344,119.65445113038047,11,1,-75,0.6465114953119491,0.4673538450182991,0.12290763933075886,-0.1513918429506044,0.25413987040519714,-0.07465389370918274,-0.037954721599817276,0.10945141315460205,-0.4505254626274109,-0.8860288858413696,-0.03984079509973526,-0.039480060338974,0.0632292628288269,0,0,0
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,188.85215759277344,119.65445113038047,11,2,-77,0.6970107575721183,0.4673538450182991,0.12290763933075886,-0.1513918429506044,0.25413987040519714,-0.07465389370918274,-0.037954721599817276,0.10945141315460205,-0.4505254626274109,-0.8860288858413696,-0.03984079509973526,-0.039480060338974,0.0632292628288269,0,0,0
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,193.05728149414062,119.65445113038047,11,1,-75,0.5606140538457642,0.5154887182238534,0.11576728321251846,-0.2324291909649677,-0.13301195204257965,-0.016038112342357635,-0.11468435823917389,0.10049871355295181,-0.492960125207901,-0.8642281889915466,-0.059727199375629425,-0.010427415370941162,-0.004424095153808594,0,0,0
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,193.05728149414062,119.65445113038047,11,2,-79,0.7250778165140338,0.5154887182238534,0.11576728321251846,-0.2324291909649677,-0.13301195204257965,-0.016038112342357635,-0.11468435823917389,0.10049871355295181,-0.492960125207901,-0.8642281889915466,-0.059727199375629425,-0.010427415370941162,-0.004424095153808594,0,0,0
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,195.1849365234375,119.65445113038047,11,2,0,-1,0.4856096478685731,0.10832605609099795,-0.2545424690651191,0.04526980221271515,0.07901381701231003,-0.010909183882176876,0.09561528265476227,-0.46674761176109314,-0.879206657409668,-0.06882081925868988,-0.008823126554489136,0.10076433420181274,0,0,0
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,195.1849365234375,119.65445113038047,11,1,-76,0.5464791203503425,0.4856096478685731,0.10832605609099795,-0.2545424690651191,0.04526980221271515,0.07901381701231003,-0.010909183882176876,0.09561528265476227,-0.46674761176109314,-0.879206657409668,-0.06882081925868988,-0.008823126554489136,0.10076433420181274,0,0,0
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,194.8227996826172,119.65445113038047,11,1,-82,0.7005336715160421,0.2580476851325681,0.1057820738949078,-0.20929892765697186,-1.0334261655807495,0.7889571189880371,0.3438509702682495,0.10208899527788162,-0.2551933526992798,-0.9614853858947754,-0.09201816469430923,-0.00440448522567749,-0.019593656063079834,0,0,0
1705430096.0653539,Papyrus Plants,36.99997890985362,-122.06218456584023,-1,-1,3.7671847343444824,249.1989288330078,-1,-1,194.8227996826172,119.65445113038047,11,2,-83,0.872774638913944,0.2580476851325681,0.1057820738949078,-0.20929892765697186,-1.0334261655807495,0.7889571189880371,0.3438509702682495,0.10208899527788162,-0.2551933526992798,-0.9614853858947754,-0.09201816469430923,-0.00440448522567749,-0.019593656063079834,0,0,0
