timestamp,username,message_type,message
1683953525.0205169,Guinea pig,seat_location,back
1683953613.0436711,Guinea pig,collecting_data,false
1684033709.43006,Horse,collecting_data,true
1684033743.2844992,Horse,collecting_data,true
1684033767.810161,Horse,sitting_on_bus,true
1684033786.080227,Horse,seat_location,middle
1684034041.4291,Horse,collecting_data,false
1684170555.906663,Cuckoo,collecting_data,true
1684181188.549649,Dog,collecting_data,true
1684181208.007172,Cat,collecting_data,true
1684181255.902714,Dog,sitting_on_bus,true
1684181261.6326509,Cat,collecting_data,true
1684181264.574409,Cat,sitting_on_bus,true
1684181272.710923,Dog,seat_location,middle
1684181281.138562,Cat,seat_location,middle
1684181391.66473,Cat,collecting_data,false
1684181399.1526752,Dog,collecting_data,false
1684203008.339473,Zebra,collecting_data,true
1684203067.686126,Zebra,sitting_on_bus,true
1684203085.713194,Zebra,seat_location,middle
1684203349.818536,Zebra,collecting_data,false
1684262043.618444,Jaguar,collecting_data,true
1684262117.244164,Jaguar,collecting_data,true
1684262120.92037,Jaguar,sitting_on_bus,true
1684262137.9164948,Jaguar,seat_location,middle
1684262322.629777,Jaguar,collecting_data,false
1684267695.954418,Jaguar,collecting_data,true
1684267703.9938421,Elk,collecting_data,true
1684267794.910462,Elk,sitting_on_bus,true
1684267794.9905229,Jaguar,sitting_on_bus,true
1684267804.365844,Jaguar,collecting_data,true
1684267807.2305598,Jaguar,sitting_on_bus,true
1684267810.539561,Elk,seat_location,back
1684267823.676686,Jaguar,seat_location,middle
1684267852.193527,Jaguar,seat_location,back
1684267996.091686,Jaguar,collecting_data,false
1684268162.2147698,Elk,seat_location,back
1684268193.8658261,Elk,collecting_data,false
1684268339.396968,Toad,collecting_data,true
1684268426.7289119,Toad,sitting_on_bus,true
1684268443.218612,Toad,seat_location,middle
1684268563.901716,Starfish,collecting_data,true
1684268646.451931,Toad,collecting_data,true
1684269963.7087212,Jaguar,collecting_data,true
1684270011.176951,Jaguar,sitting_on_bus,true
1684270027.093046,Jaguar,seat_location,middle
1684270582.1387239,Jaguar,collecting_data,false
1684271349.699695,Jaguar,collecting_data,true
1684271391.6726398,Jaguar,sitting_on_bus,true
1684271408.078166,Jaguar,seat_location,middle
1684271811.5049129,Jaguar,collecting_data,false
1684273714.132865,Cod,collecting_data,true
1684273763.810426,Cod,collecting_data,true
1684273766.8786511,Cod,sitting_on_bus,true
1684273783.598672,Cod,seat_location,back
1684273931.6183681,Cod,collecting_data,false
1684274724.9623032,Jaguar,collecting_data,true
1684274780.730588,Jaguar,sitting_on_bus,true
1684274797.116877,Jaguar,seat_location,back
1684275034.680007,Jaguar,collecting_data,false
1684275928.8828459,Toad,collecting_data,true
1684277084.631857,Starfish,collecting_data,true
1684277188.7982721,Starfish,sitting_on_bus,true
1684277210.50052,Starfish,seat_location,back
1684277221.043441,Starfish,seat_location,middle
1684277228.0282679,Reptile,collecting_data,true
1684277231.591754,Reptile,sitting_on_bus,true
1684277237.6922479,Starfish,collecting_data,false
1684277248.742351,Reptile,seat_location,middle
1684277777.0734658,Reptile,collecting_data,false
1684279094.193945,Reptile,collecting_data,true
1684279100.412558,Reptile,sitting_on_bus,true
1684279120.5518909,Reptile,seat_location,middle
1684279650.519342,Reptile,collecting_data,true
1684281993.197479,Jaguar,collecting_data,true
1684282004.285242,Cod,collecting_data,true
1684282099.803996,Cod,collecting_data,true
1684282120.703012,Cod,sitting_on_bus,true
1684282121.3950539,Jaguar,collecting_data,true
1684282137.4679852,Cod,seat_location,front
1684282196.18594,Jaguar,collecting_data,true
1684282325.905463,Cod,collecting_data,false
1684283201.120081,Dog,collecting_data,true
1684283258.132215,Dog,sitting_on_bus,true
1684283273.391078,Dog,seat_location,middle
1684283834.592679,Toad,collecting_data,true
1684283837.945893,Toad,sitting_on_bus,true
1684283854.6177058,Toad,seat_location,middle
1684283898.606139,Toad,collecting_data,false
1684284027.793747,Dog,collecting_data,false
1684298682.299821,Reptile,collecting_data,true
1684298713.722917,Reptile,sitting_on_bus,true
1684298730.960631,Reptile,seat_location,middle
1684299191.9490108,Reptile,collecting_data,false
1684299929.2880101,Reptile,collecting_data,true
1684299968.074667,Reptile,sitting_on_bus,true
1684299974.4166322,Reptile,collecting_data,true
1684299986.424833,Reptile,sitting_on_bus,true
1684300004.033208,Reptile,seat_location,middle
1684300502.1907148,Reptile,collecting_data,false
1684345120.2578092,Fly,collecting_data,true
1684345146.338964,Fly,sitting_on_bus,true
1684345163.4481258,Fly,seat_location,back
1684345238.073189,Fly,collecting_data,false
1684346982.4897819,Shrimp,collecting_data,true
1684346991.114334,Shrimp,sitting_on_bus,true
1684347024.0241609,Shrimp,seat_location,back
1684347162.668746,Shrimp,collecting_data,false
1684348605.315562,Toad,collecting_data,true
1684348610.723387,Toad,sitting_on_bus,true
1684348626.526227,Toad,seat_location,middle
1684348753.7390819,Toad,collecting_data,true
1684348758.004356,Toad,sitting_on_bus,true
1684348774.654931,Toad,seat_location,middle
1684348858.677129,Toad,collecting_data,true
1684348914.5057979,Toad,sitting_on_bus,true
1684348930.371558,Toad,seat_location,middle
1684348964.484411,Jaguar,collecting_data,true
1684348994.475297,Toad,collecting_data,false
1684349084.756603,Jaguar,sitting_on_bus,true
1684349100.993918,Jaguar,seat_location,middle
1684349311.73593,Jaguar,seat_location,back
1684349667.865704,Jaguar,collecting_data,false
1684354142.006692,Spider,collecting_data,true
1684354318.1788669,Spider,collecting_data,true
1684354484.551013,Spider,collecting_data,true
1684354531.150877,Spider,sitting_on_bus,true
1684354546.1595302,Spider,seat_location,front
1684354636.816351,Spider,collecting_data,false
1684357607.630259,Starfish,collecting_data,true
1684357616.895914,Starfish,sitting_on_bus,true
1684357636.754204,Starfish,seat_location,middle
1684357659.540981,Starfish,seat_location,middle
1684357742.077249,Starfish,collecting_data,false
1684358857.4831471,Spider,collecting_data,true
1684359015.891845,Spider,sitting_on_bus,true
1684359032.294574,Spider,seat_location,back
1684359143.9292622,Spider,collecting_data,false
1684359201.6348581,Squid,collecting_data,true
1684359270.383681,Squid,sitting_on_bus,true
1684359287.716321,Squid,seat_location,back
1684359333.660095,Squid,seat_location,back
1684362403.6753259,Elk,collecting_data,true
1684362865.127571,Jaguar,collecting_data,true
1684362954.315508,Jaguar,collecting_data,true
1684363176.618705,Jaguar,sitting_on_bus,true
1684363193.938261,Jaguar,seat_location,front
1684363515.453927,Jaguar,collecting_data,false
1684368901.386236,Fly,collecting_data,true
1684368973.321929,Fly,collecting_data,true
1684368976.594336,Fly,sitting_on_bus,true
1684368994.068368,Fly,seat_location,back
1684369696.4180532,Fly,collecting_data,false
1684369959.550232,Possum,collecting_data,true
1684370022.87186,Possum,sitting_on_bus,true
1684370039.707128,Possum,seat_location,back
1684370396.9941769,Possum,collecting_data,false
1684374281.100543,Toad,collecting_data,true
1684374296.603807,Toad,sitting_on_bus,true
1684374312.8382,Toad,seat_location,back
1684374395.564159,Toad,collecting_data,false
1684375490.030398,Jaguar,collecting_data,true
1684380306.277135,Cod,collecting_data,true
1684380343.427314,Cod,collecting_data,true
1684380349.5413861,Cod,sitting_on_bus,true
1684380366.883827,Cod,seat_location,back
1684380509.653067,Cod,collecting_data,false
1684386208.550374,Jaguar,collecting_data,true
1684386266.561369,Jaguar,sitting_on_bus,true
1684386277.181643,Jaguar,collecting_data,true
1684386280.267978,Jaguar,sitting_on_bus,true
1684386296.575611,Jaguar,seat_location,middle
1684386452.059445,Jaguar,collecting_data,false
1684391002.902869,Jaguar,collecting_data,true
1684391023.758418,Jaguar,sitting_on_bus,true
1684391040.063205,Jaguar,seat_location,middle
